"","ID","dC_p","FL_mm","X13c_tissue_lediscrim","dC_rbc","predictedRBC","residuals.RBC","me.Length","SI_adj_rbc","predictedP","residuals.P","SI_adj_P","predpred","WIC_C","predpred_nc","WIC_C_nc","WIC_C_a","WIC_N_a","WIC","cluster_2018.2019"
"1","GLCD022019",-22.26283628,359,"d13C_RBC",-20.87,-21.1148141544126,0.244814154412587,-22.1032572548387,-20.6551858455874,-22.8009780289569,0.53814174895681,-21.5651155058819,-22.0760235067654,0.500056546232957,-22.0760235067654,0.0348990122436268,0.500056546232957,0.142665590959171,0.186812773234666,2
"2","GLCD032018",-20.02,556,"d13C_RBC",-19.94,-20.1110880327617,0.171088032761665,-22.1032572548387,-20.7289119672383,-19.5408550239534,-0.479144976046586,-22.5824022308853,-21.2317773164913,0.505760767224955,-21.2317773164913,1.46840426476296,0.505760767224955,1.19440643597309,1.21177731649134,1
"3","GLCD082019",-23.04644906,400,"d13C_RBC",-20.86,-20.9059168397543,0.0459168397542891,-22.1032572548387,-20.8540831602457,-22.1224752715704,-0.92397378842965,-23.0272310432684,-22.0669455907409,0.931116970794561,-22.0669455907409,0.959427046290609,0.931116970794561,0.762384791490051,0.979503469259098,2
"4","GLCD092018",-21.52,410,"d13C_RBC",-20.89,-20.8549662752035,-0.0350337247965211,-22.1032572548387,-20.9350337247965,-21.956986794159,0.436986794159009,-21.6662704606797,-22.0941793388143,0.442436914125514,-22.0941793388143,0.32968191312118,0.442436914125514,0.532639445216255,0.574179338814259,2
"5","GLCD092019",-22.04749124,445,"d13C_RBC",-19.18,-20.6766392992756,1.49663929927565,-22.1032572548387,-19.4033607007244,-21.3777771232193,-0.669714116780688,-22.7729713716194,-20.541855698633,0.902543020216329,-20.541855698633,2.26693838342747,0.902543020216329,0.21932609001193,1.50563554136699,1
"6","GLCD102018",-21.22,393,"d13C_RBC",-21.08,-20.9415822349399,-0.138417765060143,-22.1032572548387,-21.0384177650601,-22.2383172057583,1.01831720575829,-21.0849400490804,-22.2666597432788,1.0398505548228,-22.2666597432788,1.09549661820053,1.0398505548228,0.91981182734319,1.04665974327884,1
"7","GLCD112018",-21.94,370,"d13C_RBC",-21.71,-21.0587685334067,-0.651231466593285,-22.1032572548387,-21.5512314665933,-22.6189407038044,0.678940703804376,-21.4243165510343,-22.8385684528193,0.780251359166081,-22.8385684528193,0.807425264402073,0.780251359166081,0.0487976107362891,0.898568452819301,1
"8","GLCD122018",-22.34,346,"d13C_RBC",-21.2,-21.1810498883287,-0.0189501116713415,-22.1032572548387,-20.9189501116713,-23.0161130495916,0.676113049591598,-21.4271442052471,-22.3755947355723,0.679061077030513,-22.3755947355723,0.00126698520045925,0.679061077030513,0.212172719457251,0.0355947355722619,2
"9","GLCD132018",-21.82,447,"d13C_RBC",-20.94,-20.6664491863655,-0.273550813634516,-22.1032572548387,-21.1735508136345,-21.3446794277371,-0.475320572262957,-22.5785778271017,-22.1395689189365,0.432764870295706,-22.1395689189365,0.102124293950255,0.432764870295706,0.479696330004737,0.319568918936518,1
"10","GLCD132019",-23.2236541,340,"d13C_RBC",-20.34,-21.2116202270591,0.871620227059143,-22.1032572548387,-20.0283797729409,-23.1154061360384,-0.108247963961597,-22.2115052188003,-21.5948939574694,0.243844016916191,-21.5948939574694,2.65285960189626,0.243844016916191,0.340296313404666,1.62876014253059,1
"11","GLCD142019",-23.28402564,330,"d13C_RBC",-20.96,-21.26257079161,0.302570791609951,-22.1032572548387,-20.5974292083901,-23.2808946134498,-0.00313102655025381,-22.106388281389,-22.1577247509854,0.0502013030399152,-22.1577247509854,1.26855369259503,0.0502013030399152,0.190482408866187,1.12630088901458,1
"12","GLCD152019",-19.60591378,460,"d13C_RBC",-21.62,-20.6002134524494,-1.01978654755057,-22.1032572548387,-21.9197865475506,-21.1295444071023,1.5236306271023,-20.5796266277364,-22.7568672085992,1.68227659057495,-22.7568672085992,9.92850750920128,1.68227659057495,0.485092253836249,3.15095342859924,1
"13","GLCD162019",-23.53909657,390,"d13C_RBC",-20.89,-20.9568674043051,0.0668674043050971,-22.1032572548387,-20.8331325956949,-22.2879637489817,-1.25113282101831,-23.354390075857,-22.0941793388143,1.26153523690267,-22.0941793388143,2.08778580497747,1.26153523690267,0.247720965952122,1.44491723118574,1
"14","GLCD192019",-23.40768694,450,"d13C_RBC",-21.25,-20.6511640170002,-0.598835982999757,-22.1032572548387,-21.4988359829998,-21.2950328845136,-2.11265405548636,-24.2159113103251,-22.4209843156945,2.0194944509463,-22.4209843156945,0.973582068811322,2.0194944509463,0.810641477521505,0.98670262430548,2
"15","GLCD212019",-23.39623102,370,"d13C_RBC",-21.35,-21.0587685334067,-0.291231466593286,-22.1032572548387,-21.1912314665933,-22.6189407038044,-0.777290316195621,-22.8805475710343,-22.511763475939,0.73198407370574,-22.511763475939,0.782282836497223,0.73198407370574,0.585841097908573,0.884467544060958,1
"16","GLCD232018",-21.54,380,"d13C_RBC",-21.17,-21.0078179688559,-0.162182031144095,-22.1032572548387,-21.0621820311441,-22.453452226393,0.913452226393036,-21.1898050284457,-22.3483609874989,0.93868253037244,-22.3483609874989,0.653447486110212,0.93868253037244,1.31005950904275,0.80836098749891,2
"17","GLCD242019",-23.56648976,345,"d13C_RBC",-21.36,-21.1861449447837,-0.173855055216261,-22.1032572548387,-21.0738550552163,-23.0326618973327,-0.533827862667267,-22.637085117506,-22.5208413919635,0.50678161185564,-22.5208413919635,1.09338050957742,0.50678161185564,0.231850805059155,1.04564836803651,1
