,CP,BDP,BDA,PPFL,HD,HL,SL,EW,ML,ForkLength,Year
GLCD_01_2018_Summer ,2.834172963,5.121819106,12.67834613,21.03272607,9.200156443,11.61778363,2.934049209,1.886155976,4.716020045,49.48,2018
GLCD_06_2018_Summer ,2.329557395,4.783765195,12.81810663,19.512495,9.987001458,13.56411876,4.094743004,1.974407544,5.545577819,49.65,2018
GLCD_09_2018_Summer ,1.975293372,4.089826,10.29472662,17.07872209,8.089471963,9.864322948,3.332570428,1.298720438,3.745808233,37.98,2018
GLCD_10_2018_Summer ,1.851543222,4.157464379,10.49057004,17.34497583,8.334009,10.30472052,3.353374191,1.306456955,3.857565478,37.72,2018
GLCD_11_2018_Summer ,1.691138034,3.480015759,8.713527661,15.05952874,6.891652926,9.120493328,3.060471932,1.66121243,3.517292221,33.62,2018
GLCD_12_2018_Summer ,1.57821332,3.558058492,8.646786395,15.87330929,7.001043762,8.900755741,3.126453885,1.529112,3.580884048,34.52,2018
GLCD_13_2018_Summer ,2.19314825,4.618036588,11.04059433,20.62155515,9.877617208,11.27434219,3.785176563,2.124939328,4.179432242,44.04,2018
GLCD_21_2018_Summer ,1.956598297,4.018653831,9.743372199,16.97833616,8.241747469,10.1468895,3.273958145,1.677114544,3.901491019,37.8,2018
GLCD_22_2018_Summer ,1.800430782,4.088401191,9.389071636,16.98170523,8.120133036,9.586120718,3.037306157,1.68175531,3.641954277,37.23,2018
GLCD_23_2018_Summer ,1.703245475,3.357184093,8.4784122,14.85983509,6.600785848,8.610395458,2.776215801,1.604788618,2.712463424,34.83,2018
GLCD_26_2018_Summer ,1.883993563,3.858855543,9.511402969,17.37633849,7.827015908,9.793513977,3.271895679,1.657015749,3.227067006,37.65,2018
GLCD_27_2018_Summer ,1.800387056,3.960262748,10.00351445,17.58351303,8.157363698,10.5854628,3.680637436,1.690388202,3.626079684,NA,2018
GLCD_31_2018_Summer ,1.861035809,4.423986567,9.764963506,17.30766154,9.999893695,11.66799906,3.781387104,1.881379842,4.188220691,NA,2018
GLCD_37_2018_Summer ,2.094123784,4.608328434,12.03931579,18.1663044,9.789411624,11.90440794,4.015162341,1.889062893,4.911765729,42.7,2018
GLCD_48_2018_Summer ,1.89577688,3.943390751,8.579879767,16.849474,8.750252466,10.83178138,4.0381805,1.74041,4.620892972,NA,2018
GLCD_62_2018_Summer ,1.908923258,4.240027951,11.00339094,16.46517666,8.371811096,10.45390306,3.434923565,1.679788976,4.249868482,NA,2018
GLCD_63_2018_Summer ,2.088895526,4.223914818,9.985917012,18.37721005,8.514213342,10.98683453,3.856272497,1.771172763,4.413160855,41.01,2018
GLCD_65_2018_Summer ,2.740619401,4.392297892,11.82806924,21.63646665,9.943562659,12.0269582,3.430756557,1.683943406,4.928598244,48.29,2018
GLCD_70_2018_Summer ,2.123378663,4.449725161,11.14440471,19.73894352,8.398977727,9.822426418,3.300126643,1.889175714,3.587659672,NA,2018
GLCD_71_2018_Summer ,2.334741728,4.700889065,10.8426639,19.89823049,8.474200054,10.169298,3.909869989,1.302198721,3.964859401,45.28,2018
GLCD_72_2018_Summer ,2.057655283,4.433508087,10.02062905,19.23533388,7.788197518,9.23768206,3.239703518,1.40402511,3.613715846,44.69,2018
GLCD_73_2018_Summer ,2.304543874,4.538543745,10.65872114,19.85485607,8.08451078,10.03289005,3.431630221,1.471687846,3.778997525,43.59,2018
GLCD_74_2018_Summer ,1.856771588,4.129757037,9.625613345,15.41140162,8.333081018,10.74837629,3.919674873,1.407493158,4.370736399,NA,2018
GLCD_14_2018_Summer ,1.785923324,4.012656352,9.461998651,17.74873245,7.785860048,10.38136232,3.533662073,1.858598458,3.334187894,38.83,2018
GLCD_03_2018_Summer ,2.705423028,5.357059791,13.47808861,22.03497449,11.50561081,13.70016672,4.515563419,2.186702958,5.522137456,51.68,2018
GLCD_01_2019_Summer ,2.242766674,4.30054331,11.86910286,18.20178447,8.68088501,11.16340506,3.761627708,1.926662145,4.645307811,42.99,2019
GLCD_02_2019_Summer ,1.795042222,3.810619402,9.092057981,15.60458219,6.819967832,8.997876744,3.016645827,1.590072656,3.712628362,34.74,2019
GLCD_08_2019_Summer ,1.830779971,3.655042023,8.41920243,15.07279264,7.378819936,10.43786999,3.564686392,1.59584966,3.839803807,36.47,2019
